"game_id","round","player","player_team","list","faction","opponent","TP","CP","VP","victory_condition","scenario","year"
"128","1","Edoardo Rinaldi","Team Italy Leonardo","Haley2","Cygnar","Chris Orr","0","1","25","Scenario","Outflank","2015"
"128","1","Torbjörn Hansson","Team Sweden Epic","Vayl2","Legion of Everblight","Alexander Alig ","1","5","20","Scenario","Incoming","2014"
"129","1","Andrea Cesana","Team Italy Leonardo","Butcher2","Khador","Chandler Davidson","0","3","37","Caster Kill","Outflank","2015"
"129","1","Chandler Davidson","Team Canada Goose","Krueger2","Circle Orboros","Andrea Cesana","1","0","46","Caster Kill","Outflank","2015"
"129","1","Christoffer Wedding","Team Sweden Epic","Morvahna","Circle Orboros","Tudor Stanescu ","1","5","28","Scenario","Incoming","2014"
"129","1","Tudor Stanescu ","Team Switzerland White","Butcher3","Khador","Christoffer Wedding","0","3","6","Scenario","Incoming","2014"
"130","1","Marc André Leblanc","Team Canada Goose","Haley2","Cygnar","Pietro Fauché","1","5","16","Scenario","Outflank","2015"
"130","1","Maurus Markwalder ","Team Switzerland White","Skarre","Cryx","Stefan Benediktsson","0","0","26","Scenario","Incoming","2014"
"130","1","Pietro Fauché","Team Italy Leonardo","Issyria","Retribution of Scyrah","Marc André Leblanc","0","1","28","Scenario","Outflank","2015"
"130","1","Stefan Benediktsson","Team Sweden Epic","Deneghra2","Cryx","Maurus Markwalder ","1","5","38","Scenario","Incoming","2014"
"131","2","Bubba Dalton","Team United Nations","Calandra","Trollblood","Leif Bohli","1","3","29","Caster Kill","Recon","2015"
"131","2","Christian Vestøl","Team Norway Red","Saeryn","Legion of Everblight","Florian Hartmann","1","3","45","Caster Kill","Incursion","2013"
"131","1","Dimitrios Kasdovasilis","Team Greece 2","Doomshaper","Trollblood","János Kendi","0","0","0","Scenario","Incoming","2014"
"131","2","Florian Hartmann","Team Austria White","Morvahna2","Circle Orboros","Christian Vestøl","0","0","25","Caster Kill","Incursion","2013"
"131","1","János Kendi","Team Hungary Red","Deneghra2","Cryx","Dimitrios Kasdovasilis","1","5","41","Scenario","Incoming","2014"
"131","2","Leif Bohli","Team Norway Blue","Sorscha","Khador","Bubba Dalton","0","0","5","Caster Kill","Recon","2015"
"132","2","Erich Hochauer","Team Austria White","Thagrosh","Legion of Everblight","Gard Andresen","1","5","30","Scenario","Incursion","2013"
"132","2","Espen Dahl","Team Norway Blue","Butcher2","Khador","Russell Harmann","0","2","26","Caster Kill","Recon","2015"
"132","2","Gard Andresen","Team Norway Red","Haley2","Cygnar","Erich Hochauer","0","2","39","Scenario","Incursion","2013"
"132","1","Máté Túri","Team Hungary Red","Rasheth","Skorne","Panagiotis Ntemiris","0","0","13","Deathclock","Incoming","2014"
"132","1","Panagiotis Ntemiris","Team Greece 2","Hexeris2","Skorne","Máté Túri","1","0","14","Deathclock","Incoming","2014"
"132","2","Russell Harmann","Team United Nations","Vayl2","Legion of Everblight","Espen Dahl","1","0","18","Caster Kill","Recon","2015"
"133","1","András Porkoláb","Team Hungary Red","Madrak2","Trollblood","Dimitrios Bozikas","0","0","8","Scenario","Incoming","2014"
"133","2","Daniel Pawelka","Team Austria White","Calandra","Trollblood","Jonas Brand","1","0","24","Caster Kill","Incursion","2013"
"133","1","Dimitrios Bozikas","Team Greece 2","Deneghra2","Cryx","András Porkoláb","1","5","17","Scenario","Incoming","2014"
"133","2","Jonas Brand","Team Norway Red","Deneghra2","Cryx","Daniel Pawelka","0","0","7","Caster Kill","Incursion","2013"
"133","2","Mathias Lützkendorf","Team United Nations","Skarre2","Cryx","Thomas Kastmann","1","5","11","Scenario","Recon","2015"
"133","2","Thomas Kastmann","Team Norway Blue","Caine2","Cygnar","Mathias Lützkendorf","0","0","6","Scenario","Recon","2015"
"134","2","Dominic Leedham","Team United Nations","Siege","Cygnar","Mikkel Christensen","0","1","12","Caster Kill","Recon","2015"
"134","2","Kai Soltau","Team Austria White","Feora2","Protectorate of Menoth","Terje Boye","1","0","45","Deathclock","Incursion","2013"
"134","2","Mikkel Christensen","Team Norway Blue","Ravyn","Retribution of Scyrah","Dominic Leedham","1","4","58","Caster Kill","Recon","2015"
"134","1","Nikolaos Kerazoglou","Team Greece 2","Deneghra","Cryx","Zoltán Gaál","1","0","6","Unspecified","Incoming","2014"
"134","2","Terje Boye","Team Norway Red","Deneghra","Cryx","Kai Soltau","0","3","24","Deathclock","Incursion","2013"
"134","1","Zoltán Gaál","Team Hungary Red","Deneghra2","Cryx","Nikolaos Kerazoglou","0","4","5","Unspecified","Incoming","2014"
"135","2","Bernhard Bornatowicz","Team Austria White","Siege","Cygnar","Jakub Grzegorzek","0","0","28","Scenario","Incursion","2013"
"135","2","Bret Fogel","Team United Nations","Bradigus","Circle Orboros","John Henneli","1","0","34","Caster Kill","Recon","2015"
"135","1","Ferenc Venczel","Team Hungary Red","Irusk2","Khador","Panagiotis Stathis","1","1","26","Unspecified","Incoming","2014"
"135","2","Jakub Grzegorzek","Team Norway Red","Vindictus","Protectorate of Menoth","Bernhard Bornatowicz","1","5","28","Scenario","Incursion","2013"
"135","2","John Henneli","Team Norway Blue","Haley3","Cygnar","Bret Fogel","0","0","5","Caster Kill","Recon","2015"
"135","1","Panagiotis Stathis","Team Greece 2","Durgen","Mercenaries","Ferenc Venczel","0","1","13","Unspecified","Incoming","2014"
"136","2","Ian Alderdice","Team Northern Ireland","Bradigus","Circle Orboros","Paris Boubouras","0","0","0","Caster Kill","Recon","2015"
"136","2","Nicolas Smit ","Team Belgium Black","Vayl","Legion of Everblight","Victor Nelipovich","1","5","46","Scenario","Incursion","2013"
"136","2","Norman Spiteri","Team Malta Prime","Feora2","Protectorate of Menoth","Olli Reunanen","0","0","19","Caster Kill","Supply and Demand","2014"
"136","2","Olli Reunanen","Team Finland White","Deneghra2","Cryx","Norman Spiteri","1","1","41","Caster Kill","Supply and Demand","2014"
"136","2","Paris Boubouras","Team Greece Prime","Irusk","Khador","Ian Alderdice","1","0","54","Caster Kill","Recon","2015"
"136","2","Victor Nelipovich","Team Russia","Morvahna2","Circle Orboros","Nicolas Smit ","0","0","34","Scenario","Incursion","2013"
"137","2","Adam Fox","Team Northern Ireland","Rask","Minions","Orestis Argiropoulos","0","0","8","Caster Kill","Recon","2015"
"137","2","Andrei Ivanov","Team Russia","Skarre","Cryx","Christophe Smit ","1","0","29","Deathclock","Incursion","2013"
"137","2","Christophe Smit ","Team Belgium Black","Haley2","Cygnar","Andrei Ivanov","0","1","21","Deathclock","Incursion","2013"
"137","2","Dylan Sultana","Team Malta Prime","Terminus","Cryx","Tatu Purhonen","0","0","15","Scenario","Supply and Demand","2014"
"137","2","Orestis Argiropoulos","Team Greece Prime","Severius2","Protectorate of Menoth","Adam Fox","1","0","40","Caster Kill","Recon","2015"
"137","2","Tatu Purhonen","Team Finland White","Butcher2","Khador","Dylan Sultana","1","5","17","Scenario","Supply and Demand","2014"
"138","2","Alexandre Barbier ","Team Belgium Black","Baldur2","Circle Orboros","Evgeny Orelkin","0","0","0","Caster Kill","Incursion","2013"
"138","2","Evgeny Orelkin","Team Russia","Rahn","Retribution of Scyrah","Alexandre Barbier ","1","0","35","Caster Kill","Incursion","2013"
"138","2","Mike O’Brien","Team Northern Ireland","Calandra","Trollblood","Spyros Mygdanis","1","5","50","Scenario","Recon","2015"
"138","2","Samu Järvinen","Team Finland White","Krueger","Circle Orboros","Stephen Schembri","1","1","52","Caster Kill","Supply and Demand","2014"
"138","2","Spyros Mygdanis","Team Greece Prime","Vyros2","Retribution of Scyrah","Mike O’Brien","0","0","16","Scenario","Recon","2015"
"138","2","Stephen Schembri","Team Malta Prime","Irusk","Khador","Samu Järvinen","0","0","15","Caster Kill","Supply and Demand","2014"
"139","2","Andrew Galea","Team Malta Prime","Krueger2","Circle Orboros","Janne Mikkola ","0","4","27","Caster Kill","Supply and Demand","2014"
"139","2","Artem Volik","Team Russia","Madrak2","Trollblood","Michael Marlier ","1","0","10","Caster Kill","Incursion","2013"
"139","2","George Banavos","Team Greece Prime","Rasheth","Skorne","Mat McGinn","0","3","27","Caster Kill","Recon","2015"
"139","2","Janne Mikkola ","Team Finland White","Morvahna2","Circle Orboros","Andrew Galea","1","0","34","Caster Kill","Supply and Demand","2014"
"139","2","Mat McGinn","Team Northern Ireland","Goreshade2","Cryx","George Banavos","1","0","38","Caster Kill","Recon","2015"
"139","2","Michael Marlier ","Team Belgium Black","Terminus","Cryx","Artem Volik","0","0","0","Caster Kill","Incursion","2013"
"140","2","Dimitris Vlachos","Team Greece Prime","Grissel","Trollblood","Tomek Dobros","0","0","0","Caster Kill","Recon","2015"
"140","2","Dmitry Khalansky","Team Russia","Haley2","Cygnar","Michael Llegems ","1","2","47","Caster Kill","Incursion","2013"
"140","2","Mark Attard","Team Malta Prime","Mordikaar","Skorne","Sami Suikki","0","3","13","Deathclock","Supply and Demand","2014"
"140","2","Michael Llegems ","Team Belgium Black","Feora2","Protectorate of Menoth","Dmitry Khalansky","0","0","3","Caster Kill","Incursion","2013"
"140","2","Sami Suikki","Team Finland White","Asphyxious2","Cryx","Mark Attard","1","1","25","Deathclock","Supply and Demand","2014"
"140","2","Tomek Dobros","Team Northern Ireland","Ossrum","Mercenaries","Dimitris Vlachos","1","0","27","Caster Kill","Recon","2015"
"141","2","Alexander Grob","Team Austria Red","Asphyxious2","Cryx","Tomek Tutaj","0","0","0","Caster Kill","Incursion","2013"
"141","2","Denis Korzun","Team Sweden Nobel","Doomshaper","Trollblood","Jeff Everitt","1","5","43","Scenario","Recon","2015"
"141","2","Evan Ferris","Team Australia Gold","Durgen","Mercenaries","Marco Elitropi","1","5","24","Scenario","Supply and Demand","2014"
"141","2","Jeff Everitt","Team Canada Moose","Siege","Cygnar","Denis Korzun","0","0","20","Scenario","Recon","2015"
"141","2","Marco Elitropi","Team Italy Blue","Severius","Protectorate of Menoth","Evan Ferris","0","0","15","Scenario","Supply and Demand","2014"
"141","2","Tomek Tutaj","Team Poland Red","High Reclaimer","Protectorate of Menoth","Alexander Grob","1","0","13","Caster Kill","Incursion","2013"
"142","2","Andrzej Kasiewicz","Team Poland Red","Skarre","Cryx","Stefan Riegler","1","5","50","Scenario","Incursion","2013"
"142","2","Brynn Holdstock","Team Canada Moose","Skarre","Cryx","Olov Winroth","0","0","24","Caster Kill","Recon","2015"
"142","2","Carlo Piccinini","Team Italy Blue","Haley2","Cygnar","David Potts","0","0","11","Scenario","Supply and Demand","2014"
"142","2","David Potts","Team Australia Gold","Hexeris2","Skorne","Carlo Piccinini","1","5","26","Scenario","Supply and Demand","2014"
"142","2","Olov Winroth","Team Sweden Nobel","Zerkova2","Khador","Brynn Holdstock","1","0","61","Caster Kill","Recon","2015"
"142","2","Stefan Riegler","Team Austria Red","Saeryn","Legion of Everblight","Andrzej Kasiewicz","0","0","18","Scenario","Incursion","2013"
"143","2","Adrian Weygandt","Team Austria Red","Harbinger","Protectorate of Menoth","Marcin Mycek","1","1","27","Caster Kill","Incursion","2013"
"143","2","Federico Ingrosso","Team Italy Blue","Lucant","Convergence of Cyriss","Jeff Traish","0","1","21","Deathclock","Supply and Demand","2014"
"143","2","Jeff Traish","Team Australia Gold","Madrak2","Trollblood","Federico Ingrosso","1","0","31","Deathclock","Supply and Demand","2014"
"143","2","Marcin Mycek","Team Poland Red","Butcher2","Khador","Adrian Weygandt","0","0","7","Caster Kill","Incursion","2013"
"143","2","Torbjörn Hansson","Team Sweden Nobel","Vayl2","Legion of Everblight","Tyler Webb","0","0","15","Caster Kill","Recon","2015"
"143","2","Tyler Webb","Team Canada Moose","Vyros2","Retribution of Scyrah","Torbjörn Hansson","1","0","63","Caster Kill","Recon","2015"
"144","2","Christoffer Wedding","Team Sweden Nobel","Issyria","Retribution of Scyrah","Gord Weppler","1","0","63","Caster Kill","Recon","2015"
"144","2","Christopher Davies","Team Australia Gold","Irusk2","Khador","Emiliano Traversi","1","1","64","Deathclock","Supply and Demand","2014"
"144","2","David Horwitz","Team Austria Red","Haley","Cygnar","Michal Nakonieczny","0","1","38","Caster Kill","Incursion","2013"
"144","2","Emiliano Traversi","Team Italy Blue","Vayl2","Legion of Everblight","Christopher Davies","0","0","34","Deathclock","Supply and Demand","2014"
"144","2","Gord Weppler","Team Canada Moose","Bradigus","Circle Orboros","Christoffer Wedding","0","1","18","Caster Kill","Recon","2015"
"144","2","Michal Nakonieczny","Team Poland Red","Vayl2","Legion of Everblight","David Horwitz","1","0","38","Caster Kill","Incursion","2013"
"145","2","Alessandro Montagnani","Team Italy Blue","Grissel2","Trollblood","Jeff Galea","1","2","60","Caster Kill","Supply and Demand","2014"
"145","2","Christian Aas","Team Sweden Nobel","Vayl","Legion of Everblight","Lukasz Kruszewski ","0","3","41","Scenario","Recon","2015"
"145","2","Jeff Galea","Team Australia Gold","Vyros2","Retribution of Scyrah","Alessandro Montagnani","0","0","8","Caster Kill","Supply and Demand","2014"
"145","2","Lukasz Kruszewski ","Team Canada Moose","Vayl2","Legion of Everblight","Christian Aas","1","5","56","Scenario","Recon","2015"
"145","2","Michal Konieczny","Team Poland Red","Morvahna2","Circle Orboros","Stefan Mader","0","1","47","Deathclock","Incursion","2013"
"145","2","Stefan Mader","Team Austria Red","Makeda3","Skorne","Michal Konieczny","1","4","30","Deathclock","Incursion","2013"
"146","2","Carlo Piccinini ","Team Italy","Asphyxious3","Cryx","Tommy Geuns","1","0","44","Caster Kill","Incursion","2013"
"146","2","Martin Šcepán","Team Slovakia","Morghoul","Skorne","Rob Kneepkens","0","0","6","Caster Kill","Supply and Demand","2014"
"146","2","Rhys Phillips","Team Wales Fire","Ravyn","Retribution of Scyrah","Victor Nelipovich","1","3","63","Caster Kill","Recon","2015"
"146","2","Rob Kneepkens","Team Netherlands Orange","Rask","Minions","Martin Šcepán","1","0","47","Caster Kill","Supply and Demand","2014"
"146","2","Tommy Geuns","Team Belgium Red","Krueger2","Circle Orboros","Carlo Piccinini ","0","0","13","Caster Kill","Incursion","2013"
"146","2","Victor Nelipovich","Team Russia Wolves","Old Witch","Khador","Rhys Phillips","0","1","22","Caster Kill","Recon","2015"
"147","2","Dominique Majoie","Team Belgium Red","Vayl2","Legion of Everblight","Pietro Fauché","0","0","22","Scenario","Incursion","2013"
"147","2","Evgenii Mikhailovskii","Team Russia Wolves","Morvahna2","Circle Orboros","Pat Vance","0","0","47","Caster Kill","Recon","2015"
"147","2","Jaromir Skirmuntt","Team Slovakia","Ravyn","Retribution of Scyrah","Tom Starren","1","5","43","Scenario","Supply and Demand","2014"
"147","2","Pat Vance","Team Wales Fire","Lylyth2","Legion of Everblight","Evgenii Mikhailovskii","1","2","44","Caster Kill","Recon","2015"
"147","2","Pietro Fauché","Team Italy","Vyros2","Retribution of Scyrah","Dominique Majoie","1","5","23","Scenario","Incursion","2013"
"147","2","Tom Starren","Team Netherlands Orange","Butcher","Khador","Jaromir Skirmuntt","0","0","6","Scenario","Supply and Demand","2014"
"148","2","Federico Ingrosso","Team Italy","Morghoul","Skorne","Laurens Tanguy","1","5","44","Scenario","Incursion","2013"
"148","2","Harm Kleijnen","Team Netherlands Orange","Thagrosh","Legion of Everblight","Matej Tkác","1","1","46","Caster Kill","Supply and Demand","2014"
"148","2","Konstantin Kruchinin","Team Russia Wolves","Mordikaar","Skorne","Terry Slade","0","0","34","Scenario","Recon","2015"
"148","2","Laurens Tanguy","Team Belgium Red","Ossyan","Retribution of Scyrah","Federico Ingrosso","0","0","36","Scenario","Incursion","2013"
"148","2","Matej Tkác","Team Slovakia","Lucant","Convergence of Cyriss","Harm Kleijnen","0","0","39","Caster Kill","Supply and Demand","2014"
"148","2","Terry Slade","Team Wales Fire","Skarre","Cryx","Konstantin Kruchinin","1","5","6","Scenario","Recon","2015"
"149","2","Alexander Loginov","Team Russia Wolves","Haley2","Cygnar","Martyn Jenkins","1","5","23","Scenario","Recon","2015"
"149","2","Dirk Pintjens","Team Belgium Red","Kreoss3","Protectorate of Menoth","Emiliano Traversi","1","5","14","Scenario","Incursion","2013"
"149","2","Emiliano Traversi","Team Italy","Lylyth2","Legion of Everblight","Dirk Pintjens","0","0","17","Scenario","Incursion","2013"
"149","2","Martin Polák","Team Slovakia","Haley2","Cygnar","Sankha Amarakoon","1","0","25","Caster Kill","Supply and Demand","2014"
"149","2","Martyn Jenkins","Team Wales Fire","Durst","Protectorate of Menoth","Alexander Loginov","0","3","0","Scenario","Recon","2015"
"149","2","Sankha Amarakoon","Team Netherlands Orange","Durgen","Mercenaries","Martin Polák","0","0","3","Caster Kill","Supply and Demand","2014"
"150","2","Casper Jellema","Team Netherlands Orange","Caine2","Cygnar","Martin Hornácek","0","0","12","Caster Kill","Supply and Demand","2014"
"150","2","Martin Hornácek","Team Slovakia","Xerxis","Skorne","Casper Jellema","1","0","0","Caster Kill","Supply and Demand","2014"
"150","2","Mike Davies","Team Wales Fire","Gunnbjorn","Trollblood","Yaroslav Karmannyy","0","1","27","Caster Kill","Recon","2015"
"150","2","Milo Fuggin","Team Italy","Butcher2","Khador","Tim Bossuyt","1","0","34","Caster Kill","Incursion","2013"
"150","2","Tim Bossuyt","Team Belgium Red","Skarre1","Cryx","Milo Fuggin","0","2","5","Caster Kill","Incursion","2013"
"150","2","Yaroslav Karmannyy","Team Russia Wolves","Thexus","Mercenaries","Mike Davies","1","0","39","Caster Kill","Recon","2015"
"151","2","Andrei Ivanov","Team Russia Bears","Deneghra2","Cryx","Andrew Kenny","0","0","50","Scenario","Recon","2015"
"151","2","Andrew Kenny","Team United Nations 2","Deneghra2","Cryx","Andrei Ivanov","1","5","44","Scenario","Recon","2015"
"151","2","Charles Arrasmith","Team USA Stripes","Vayl2","Legion of Everblight","Mathias Lützkendorf","1","0","55","Caster Kill","Supply and Demand","2014"
"151","2","Ciaran Bolger","Team Ireland","Rasheth","Skorne","Teemu Aro","1","0","22","Caster Kill","Incursion","2013"
"151","2","Mathias Lützkendorf","Team Germany Red","Skarre2","Cryx","Charles Arrasmith","0","4","23","Caster Kill","Supply and Demand","2014"
"151","2","Teemu Aro","Team Finland Blue","Rahn","Retribution of Scyrah","Ciaran Bolger","0","0","0","Caster Kill","Incursion","2013"
"152","2","Artem Volik","Team Russia Bears","Vayl2","Legion of Everblight","Hermanni Raatevaara","1","5","61","Scenario","Recon","2015"
"152","2","Craig Conroy","Team USA Stripes","Haley","Cygnar","Martin Huf","1","0","57","Caster Kill","Supply and Demand","2014"
"152","2","Hermanni Raatevaara","Team United Nations 2","Irusk","Khador","Artem Volik","0","0","20","Scenario","Recon","2015"
"152","2","Martin Huf","Team Germany Red","Saeryn","Legion of Everblight","Craig Conroy","0","0","23","Caster Kill","Supply and Demand","2014"
"152","2","Stuart Gorman","Team Ireland","Hoarluk","Trollblood","Tatu Purhonen","0","0","12","Scenario","Incursion","2013"
"152","2","Tatu Purhonen","Team Finland Blue","Krueger2","Circle Orboros","Stuart Gorman","1","5","18","Scenario","Incursion","2013"
"153","2","Bogdan Novikov","Team Russia Bears","Grissel","Trollblood","Peter Bates","0","0","19","Scenario","Recon","2015"
"153","2","Daniel Hostert ","Team Germany Red","Harbinger","Protectorate of Menoth","Jeremy Lee","1","1","51","Caster Kill","Supply and Demand","2014"
"153","2","Eoin Brennan","Team Ireland","Morvahna2","Circle Orboros","Teppo Aro","1","0","23","Caster Kill","Incursion","2013"
"153","2","Jeremy Lee","Team USA Stripes","Deneghra","Cryx","Daniel Hostert ","0","1","15","Caster Kill","Supply and Demand","2014"
"153","2","Peter Bates","Team United Nations 2","Harbinger","Protectorate of Menoth","Bogdan Novikov","1","5","55","Scenario","Recon","2015"
"153","2","Teppo Aro","Team Finland Blue","Kreoss","Protectorate of Menoth","Eoin Brennan","0","1","11","Caster Kill","Incursion","2013"
"154","2","Gerry Nolan","Team Ireland","Thagrosh","Legion of Everblight","Jaakko Uusitupa","0","2","10","Scenario","Incursion","2013"
"154","2","Jaakko Uusitupa","Team Finland Blue","Haley2","Cygnar","Gerry Nolan","1","5","22","Scenario","Incursion","2013"
"154","2","Kurt Hindman","Team USA Stripes","Butcher","Khador","Niels Pecherz","0","0","20","Scenario","Supply and Demand","2014"
"154","2","Marc Simoni","Team United Nations 2","Saeryn","Legion of Everblight","Mikhail Novikov","1","5","2","Scenario","Recon","2015"
"154","2","Mikhail Novikov","Team Russia Bears","Harbinger","Protectorate of Menoth","Marc Simoni","0","0","14","Scenario","Recon","2015"
"154","2","Niels Pecherz","Team Germany Red","Issyria","Retribution of Scyrah","Kurt Hindman","1","5","47","Scenario","Supply and Demand","2014"
"155","2","Alan Buckley","Team United Nations 2","Hexeris2","Skorne","Dmitry Khalansky","0","0","6","Caster Kill","Recon","2015"
"155","2","Anthony O'Reilly","Team Ireland","Rasheth","Skorne","Tero Särkijärvi","0","1","14","Scenario","Incursion","2013"
"155","2","Bernhard Fischer","Team Germany Red","Morvahna2","Circle Orboros","Colin Hill","0","1","9","Caster Kill","Supply and Demand","2014"
"155","2","Colin Hill","Team USA Stripes","Morvahna2","Circle Orboros","Bernhard Fischer","1","1","38","Caster Kill","Supply and Demand","2014"
"155","2","Dmitry Khalansky","Team Russia Bears","Haley","Cygnar","Alan Buckley","1","0","19","Caster Kill","Recon","2015"
"155","2","Tero Särkijärvi","Team Finland Blue","Deneghra","Cryx","Anthony O'Reilly","1","5","52","Scenario","Incursion","2013"
"156","2","Christophe Dirckx","Belgium Otter Team","Vlad","Khador","Orestis Argiropoulos","1","0","40","Caster Kill","Supply and Demand","2014"
"156","2","Kailam Dale","Team Wales","Rasheth","Retribution of Scyrah","Paulo Morais","1","5","51","Caster Kill","Incursion","2013"
"156","2","Mike Puryear","Team USA Stripes","Severius","Protectorate of Menoth","Soren Lister ","1","5","50","Scenario","Recon","2015"
"156","2","Orestis Argiropoulos","Team Greece Prime","Severius2","Protectorate of Menoth","Christophe Dirckx","0","1","26","Caster Kill","Supply and Demand","2014"
"156","2","Paulo Morais","Team Portugal","Kreoss3","Protectorate of Menoth","Kailam Dale","0","0","19","Caster Kill","Incursion","2013"
"156","2","Soren Lister ","Team Denmark Red","Haley3","Cygnar","Mike Puryear","0","0","7","Scenario","Recon","2015"
"157","2","Agis Theodoropoulos","Team Greece Prime","Kromac","Circle Orboros","Tomas Mennes","0","0","0","Caster Kill","Supply and Demand","2014"
"157","2","Doug Fazzani","Team Wales","Haley2","Cygnar","Joao Nunes","0","4","39","Scenario","Incursion","2013"
"157","2","Jeremy Lee","Team USA Stripes","Deneghra2","Cryx","Sebastian Kaas Petersen","0","0","15","Scenario","Recon","2015"
"157","2","Joao Nunes","Team Portugal","Sorscha2","Khador","Doug Fazzani","1","5","46","Scenario","Incursion","2013"
"157","2","Sebastian Kaas Petersen","Team Denmark Red","Deneghra2","Cryx","Jeremy Lee","1","5","48","Scenario","Recon","2015"
"157","2","Tomas Mennes","Belgium Otter Team","Lylyth2","Legion of Everblight","Agis Theodoropoulos","1","0","40","Caster Kill","Supply and Demand","2014"
"158","2","Brian Marino","Team USA Stripes","Vayl1","Legion of Everblight","Peter Bom Jensen","1","5","44","Scenario","Recon","2015"
"158","2","Laurens Tanguy","Belgium Otter Team","Issyria","Retribution of Scyrah","Spyros Pavlis","1","2","47","Caster Kill","Supply and Demand","2014"
"158","2","Miguel Marques Correia","Team Portugal","Haley2","Cygnar","Mike Davies","1","0","23","Caster Kill","Incursion","2013"
"158","2","Mike Davies","Team Wales","Ravyn","Retribution of Scyrah","Miguel Marques Correia","0","0","0","Caster Kill","Incursion","2013"
"158","2","Peter Bom Jensen","Team Denmark Red","Morvahna2","Circle Orboros","Brian Marino","0","3","25","Scenario","Recon","2015"
"158","2","Spyros Pavlis","Team Greece Prime","Stryker3","Cygnar","Laurens Tanguy","0","0","5","Caster Kill","Supply and Demand","2014"
"159","2","Aaron Boyhan","Team Wales","Harbinger","Protectorate of Menoth","Nuno Sequeira","1","5","34","Scenario","Incursion","2013"
"159","2","George Banavos","Team Greece Prime","Hexeris2","Skorne","Tim Bossuyt","0","0","19","Caster Kill","Supply and Demand","2014"
"159","2","Jay Larsen","Team USA Stripes","Doomshaper","Trollblood","Marc Forsmark Nielsen ","1","0","44","Caster Kill","Recon","2015"
"159","2","Marc Forsmark Nielsen ","Team Denmark Red","Absylonia2","Legion of Everblight","Jay Larsen","0","0","42","Caster Kill","Recon","2015"
"159","2","Nuno Sequeira","Team Portugal","Scaverous","Cryx","Aaron Boyhan","0","0","13","Scenario","Incursion","2013"
"159","2","Tim Bossuyt","Belgium Otter Team","Skarre","Cryx","George Banavos","1","3","57","Caster Kill","Supply and Demand","2014"
"160","2","Brandon Cating","Team USA Stripes","Severius2","Protectorate of Menoth","Gil Surepi","0","0","24","Caster Kill","Recon","2015"
"160","2","Christophe Smit","Belgium Otter Team","Haley2","Cygnar","Panagiotis Psonis","0","0","22","Caster Kill","Supply and Demand","2014"
"160","2","Gil Surepi","Team Denmark Red","Butcher3","Khador","Brandon Cating","1","0","50","Caster Kill","Recon","2015"
"160","2","Joao Morais","Team Portugal","Morghoul","Skorne","Martyn Jenkins","0","0","12","Scenario","Incursion","2013"
"160","2","Martyn Jenkins","Team Wales","Morvahna2","Circle Orboros","Joao Morais","1","5","31","Scenario","Incursion","2013"
"160","2","Panagiotis Psonis","Team Greece Prime","Skarre","Cryx","Christophe Smit","1","0","34","Caster Kill","Supply and Demand","2014"
"161","2","Alasdair Johnstone","Team Scotland","Skarre","Cryx","Albert Adolf","1","2","55","Caster Kill","Incursion","2013"
"161","2","Albert Adolf","Team Hungary","Saeryn","Legion of Everblight","Alasdair Johnstone","0","0","6","Caster Kill","Incursion","2013"
"161","2","Christoph Schrage","Team Spain South","Axis","Convergence of Cyriss","Gerard O' Brien","1","0","22","Deathclock","Recon","2015"
"161","2","Gerard O' Brien","Team Northern Ireland 2","Deneghra","Cryx","Christoph Schrage","0","0","6","Deathclock","Recon","2015"
"161","2","Maurus Markwalder ","Team Switzerland White","Asphyxious","Cryx","Mikkel Christensen","0","0","20","Caster Kill","Supply and Demand","2014"
"161","2","Mikkel Christensen","Team Norway Blue","Kaya2","Circle Orboros","Maurus Markwalder ","1","3","43","Caster Kill","Supply and Demand","2014"
"162","2","David Kane","Team Scotland","Butcher","Khador","Rudolf Edlmayer","1","5","36","Caster Kill","Incursion","2013"
"162","2","Fernando Segado","Team Spain South","Thagrosh2","Legion of Everblight","John Foster","1","5","40","Scenario","Recon","2015"
"162","2","John Foster","Team Northern Ireland 2","Doomshaper","Trollblood","Fernando Segado","0","0","14","Scenario","Recon","2015"
"162","2","Robi Deola ","Team Switzerland White","Krueger2","Circle Orboros","Torjus Eftestøl","0","0","19","Scenario","Supply and Demand","2014"
"162","2","Rudolf Edlmayer","Team Hungary","Fiona","Mercenaries","David Kane","0","4","9","Caster Kill","Incursion","2013"
"162","2","Torjus Eftestøl","Team Norway Blue","Deneghra","Cryx","Robi Deola ","1","5","55","Scenario","Supply and Demand","2014"
"163","2","Alexander Alig ","Team Switzerland White","Xerxis","Skorne","Endre Fodstad","1","2","60","Caster Kill","Supply and Demand","2014"
"163","2","Chris Wright","Team Northern Ireland 2","Borka","Trollblood","Dorian Gordon","0","0","16","Caster Kill","Recon","2015"
"163","2","Dorian Gordon","Team Spain South","Asphyxious2","Cryx","Chris Wright","1","3","50","Caster Kill","Recon","2015"
"163","2","Endre Fodstad","Team Norway Blue","Syntherion","Convergence of Cyriss","Alexander Alig ","0","0","25","Caster Kill","Supply and Demand","2014"
"163","2","Gábor Wolf","Team Hungary","Butcher3","Khador","Ross Silvers","1","0","40","Caster Kill","Incursion","2013"
"163","2","Ross Silvers","Team Scotland","Kromac","Circle Orboros","Gábor Wolf","0","4","53","Caster Kill","Incursion","2013"
