"player","team","faction","is_theme","theme_name","leader","list"
"Simon Sørensen","Denmark Ugly Ducklings","Protectorate of Menoth","1"," The Creator's Might","Severius 2","Protectorate Army - 75 / 75 points\n[Theme] The Creator's Might\n\n(Severius 2) Hierarch Severius [+26]\n - Blessing of Vengeance [13]\n - Devout [9]\n - Reckoner [16]\n - Vigilant [9]\n - Hierophant [0(3)]\nThe Covenant of Menoth [0(4)]\nVassal Mechanik [1]\nVassal Mechanik [1]\nVassal Mechanik [1]\nVassal of Menoth [0(3)]\nWrack [1]\nWrack [1]\nChoir of Menoth (min) [4]\nVisgoth Juviah Rhoven & Honor Guard [9]\nVessel of Judgment [18]\nVessel of Judgment [18]\n"
"Simon Sørensen","Denmark Ugly Ducklings","Protectorate of Menoth","1"," The Creator's Might","Amon 1","Protectorate Army - 75 / 75 points\n[Theme] The Creator's Might\n\n(Amon 1) High Allegiant Amon Ad-Raza [+29]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Devout [9]\n - Devout [9]\n - Indictor [15]\n - Indictor [15]\n - Repenter [8]\n - Repenter [8]\n - Hierophant [0(3)]\nVassal Mechanik [1]\nVassal Mechanik [1]\nVassal of Menoth [0(3)]\nVassal of Menoth [0(3)]\nWrack [1]\nWrack [1]\nChoir of Menoth (min) [4]\nChoir of Menoth (min) [4]\n"
"Kasper B. Larsen","Denmark Little Mermaids","Retribution of Scyrah","1"," Forges of War","Vyros 2","Retribution Army - 75 / 75 points\n[Theme] Forges of War\n\n(Vyros 2) Vyros, Incissar of the Dawnguard [+27]\n - Griffon [8]\n - Griffon [8]\n - Griffon [8]\n - Griffon [8]\n - Griffon [8]\n - Helios [34]\n - Imperatus [22]\n - Sylys Wyshnalyrr, The Seeker [0(4)]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nHouse Shyeel Artificer [0(5)]\nHouse Shyeel Artificer [0(5)]\n"
"Kasper B. Larsen","Denmark Little Mermaids","Retribution of Scyrah","1"," Shadows of the Retribution","Issyria 1","Retribution Army - 75 / 75 points\n[Theme] Shadows of the Retribution\n\n(Issyria 1) Issyria, Sibyl of Dawn [+29]\n - Chimera [8]\n - Chimera [8]\n - Hyperion [36]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nEiryss, Mage Hunter of Ios [0(7)]\nMage Hunter Assassin [4]\nMage Hunter Assassin [4]\nNarn, Mage Hunter of Ios [0(6)]\nMage Hunter Strike Force (max) [16]\n - Mage Hunter Strike Force Commander [4]\nMage Hunter Strike Force (max) [16]\n - Mage Hunter Strike Force Commander [4]\n"
"Søren Laust Jacobsen","Denmark Little Mermaids","Cryx","0",,"Deneghra 1","Cryx Army - 75 / 75 points\n\n(Deneghra 1) Warwitch Deneghra [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nAiakos, Scourge of the Meredius [4]\n - Kraken [36]\nOrin Midwinter, Rogue Inquisitor [5]\nRagman [4]\nSatyxis Blood Witches (min) [8]\n - Satyxis Blood Hag [4]\nSatyxis Gunslingers [7]\nSatyxis Gunslingers [7]\n"
"Søren Laust Jacobsen","Denmark Little Mermaids","Cryx","1"," Dark Host","Coven 1","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Coven 1) The Witch Coven of Garlghast [+26]\n - Deathripper [6]\n - Deathripper [6]\n - Desecrator [14]\nBane Lord Tartarus [0(6)]\nBane Riders (max) [20]\nBane Riders (max) [20]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Laurents Rønved","Denmark Little Mermaids","Cygnar","1"," Heavy Metal","Nemo 3","Cygnar Army - 74 / 75 points\n[Theme] Heavy Metal\n\n(Nemo 3) Artificer General Nemo [+25]\n - Centurion [17]\n - Centurion [17]\n - Dynamo [18]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\nField Mechaniks (min) [3]\nStorm Strider [18]\nStorm Strider [18]\n"
"Laurents Rønved","Denmark Little Mermaids","Cygnar","1"," Heavy Metal","Stryker 2","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Stryker 2) Lord Commander Stryker [+28]\n - Centurion [17]\n - Centurion [17]\n - Ol' Rowdy [18]\n - Squire [0(5)]\nArchduke Alain Runewood, Lord of Fharin [0(4)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [4]\n - Charger [9]\nLieutenant Allison Jakes [4]\n - Charger [9]\n - Charger [9]\nField Mechaniks (min) [3]\nSword Knights (max) [13]\n"
"Mikkel Mandal","Denmark Little Mermaids","Khador","1"," Legion of Steel","Zerkova 1","Khador Army - 75 / 75 points\n[Theme] Legion of Steel\n\n(Zerkova 1) Koldun Kommander Aleksandra Zerkova [+28]\n - Devastator [14]\n - Juggernaut [12]\n - Juggernaut [12]\nIron Fang Kovnik [0(4)]\nIron Fang Kovnik [0(4)]\nUhlan Kovnik Markov [7]\nBlack Dragons (max) [17]\n - Black Dragon Officer & Standard [0(4)]\nGreat Bears of the Gallowswood [9]\nIron Fang Uhlans (min) [12]\nIron Fang Uhlans (max) [20]\n"
"Mikkel Mandal","Denmark Little Mermaids","Khador","1"," Jaws of the Wolf","Butcher 3","Khador Army - 75 / 75 points\n[Theme] Jaws of the Wolf\n\n(Butcher 3) Kommander Zoktavir, The Butcher Unleashed [+22]\n - Devastator [14]\n - Juggernaut [12]\n - Juggernaut [12]\n - Marauder [10]\n - Ruin [17]\n - War Dog [3]\nGreylord Forge Seer [0(4)]\nGreylord Forge Seer [0(4)]\nKayazy Assassins (max) [15]\n - Kayazy Assassin Underboss [4]\nKayazy Eliminators [5]\nKayazy Eliminators [5]\n"
"Sebastian Kaas Petersen","Denmark Little Mermaids","Grymkin","1"," Bump in the Night","King of Nothing 1","Grymkin Army - 75 / 75 points\n[Theme] Bump in the Night\n\n!!! Your army contains a pre-release entry.\n\n(King of Nothing 1) The King of Nothing [+28]\n - Cage Rager [14]\n - Crabbits (2) [7]\n - Crabbits (2) [7]\n - Rattler [8]\n - Rattler [8]\n - Rattler [8]\nGlimmer Imp [0(4)]\nLord Longfellow [0(6)]\nDread Rots (max) [12]\nHollowmen (max) [13]\n - Lantern Man [3]\nHollowmen (max) [13]\n - Lantern Man [3]\nTwilight Sisters [7]\n"
"Sebastian Kaas Petersen","Denmark Little Mermaids","Grymkin","1"," Dark Menagerie","Dreamer 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Dreamer 1) The Dreamer [+28]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Frightmare [9]\n - Skin & Moans [15]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGlimmer Imp [4]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nLady Karianna Rose [4]\nDread Rots (min) [7]\nDeath Knell [13]\n"
"Patrick Dunford","England Lions","Grymkin","1"," Dark Menagerie","Heretic 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Heretic 1) The Heretic [+28]\n - Cage Rager [14]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Frightmare [9]\n - Frightmare [9]\n - Gorehound [6]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nDeath Knell [13]\n"
"Patrick Dunford","England Lions","Grymkin","1"," Dark Menagerie","Dreamer 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Dreamer 1) The Dreamer [+28]\n - Cage Rager [14]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Gorehound [6]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nLady Karianna Rose [4]\nDread Rots (min) [7]\nDeath Knell [13]\n"
"Matt Goligher","England Lions","Cygnar","0",,"Haley 3","Cygnar Army - 75 / 75 points\n\n(Haley 3) Major Prime Victoria Haley [+25]\n - Defender [16]\n - Thorn [13]\nAnastasia di Bray [3]\nGun Mage Captain Adept [5]\nJourneyman Warcaster [4]\n - Charger [9]\nRagman [4]\nAlexia Ciannor & the Risen [10]\nStorm Lances (max) [20]\nTrencher Infantry (max) [16]\n"
"Matt Goligher","England Lions","Cygnar","1"," Heavy Metal","Stryker 1","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Stryker 1) Commander Coleman Stryker [+30]\n - Firefly [8]\n - Hurricane [39]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\nLieutenant Allison Jakes [0(4)]\n - Charger [9]\nField Mechaniks (max) [5]\nStorm Strider [18]\nStorm Strider [18]\n"
"Paul Watson","England Lions","Protectorate of Menoth","1"," Guardians of the Temple","Thyra 1","Protectorate Army - 75 / 75 points\n[Theme] Guardians of the Temple\n\n(Thyra 1) Thyra, Flame of Sorrow [+29]\n - Blood of Martyrs [16]\n - Sanctifier [14]\nNicia, Tear of Vengeance [0(5)]\nPyrrhus, Flameguard Hero [0(5)]\nReclaimer Gatekeeper [3]\nVassal Mechanik [1]\nWrack [1]\nChoir of Menoth (min) [4]\nDaughters of the Flame [10]\nDaughters of the Flame [10]\nFlame Bringers (max) [17]\nFlame Bringers (max) [17]\nTemple Flameguard (max) [11]\n - Temple Flameguard Officer & Standard [0(4)]\n"
"Paul Watson","England Lions","Protectorate of Menoth","1"," The Creator's Might","Amon 1","Protectorate Army - 75 / 75 points\n[Theme] The Creator's Might\n\n(Amon 1) High Allegiant Amon Ad-Raza [+29]\n - Crusader [10]\n - Crusader [10]\n - Crusader [10]\n - Crusader [10]\n - Dervish [7]\n - Dervish [7]\n - Devout [9]\n - Indictor [15]\n - Indictor [15]\nThe Covenant of Menoth [0(4)]\nVassal Mechanik [1]\nVassal Mechanik [1]\nVassal of Menoth [0(3)]\nVassal of Menoth [0(3)]\nWrack [1]\nChoir of Menoth (min) [4]\nChoir of Menoth (min) [4]\n"
"Richard Beech","England Lions","Khador","1"," Legion of Steel","Zerkova 1","Khador Army - 75 / 75 points\n[Theme] Legion of Steel\n\n(Zerkova 1) Koldun Kommander Aleksandra Zerkova [+28]\n - Juggernaut [12]\n - Juggernaut [12]\n - Marauder [10]\nIron Fang Kovnik [0(4)]\nIron Fang Kovnik [0(4)]\nUhlan Kovnik Markov [7]\nBlack Dragons (min) [10]\n - Black Dragon Officer & Standard [0(4)]\nGreat Bears of the Gallowswood [9]\nIron Fang Pikemen (max) [15]\n - Iron Fang Pikemen Officer & Standard [4]\nIron Fang Uhlans (min) [12]\nIron Fang Uhlans (min) [12]\n"
"Richard Beech","England Lions","Khador","0",,"Sorscha 2","Khador Army - 75 / 75 points\n\n(Sorscha 2) Forward Kommander Sorscha [+27]\n - Marauder [10]\n - Ruin [17]\n - Reinholdt, Gobber Speculator [4]\nKovnik Jozef Grigorovich [4]\nWidowmaker Marksman [4]\nIron Fang Pikemen (max) [15]\n - Iron Fang Pikemen Officer & Standard [4]\nKayazy Eliminators [5]\nKossite Woodsmen (min) [7]\nLady Aiyana & Master Holt [8]\n - Koldun Kapitan Valachev [4]\nWinter Guard Infantry (max) [10]\n - Winter Guard Infantry Officer & Standard [4]\n - Winter Guard Rocketeer (3) [6]\n"
"Ryan Evans","England Lions","Cryx","1"," Dark Host","Coven 1","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Coven 1) The Witch Coven of Garlghast [+26]\n - Deathripper [6]\n - Nightwretch [7]\n - Reaper [13]\nBane Lord Tartarus [0(6)]\nBane Riders (max) [20]\nBane Riders (max) [20]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Ryan Evans","England Lions","Cryx","1"," The Ghost Fleet","Deneghra 1","Cryx Army - 75 / 75 points\n[Theme] The Ghost Fleet\n\n(Deneghra 1) Warwitch Deneghra [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nCaptain Rengrave [0(5)]\nHellslinger Phantom [0(7)]\nPistol Wraith [0(5)]\nBlackbane's Ghost Raiders (max) [17]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (2) [4]\nWraith Engine [15]\n"
"Paul North","England Roses","Legion of Everblight","0",,"Saeryn 2 & Rhyas 2","Legion Army - 75 / 75 points\n\n(Saeryn 2 & Rhyas 2) Saeryn & Rhyas, Talons of Everblight [+24]\n - Naga Nightlurker [8]\n - Nephilim Protector [10]\n - Seraph [14]\n - Zuriel [18]\nAnnyssa Ryvaal [8]\nWrong Eye [17]\nBlighted Nyss Raptors (max) [18]\nHellmouth [6]\n"
"Paul North","England Roses","Legion of Everblight","0",,"Lylyth 2","Legion Army - 75 / 75 points\n\n(Lylyth 2) Lylyth, Shadow of Everblight [+28]\n - Azrael [21]\n - Naga Nightlurker [8]\n - Nephilim Bolt Thrower [11]\n - Ravagore [19]\n - Ravagore [19]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Shepherd [1]\nBlackfrost Shard [9]\nStrider Scouts [9]\n - Strider Scout Officer & Musician [4]\n"
"Jim Gradwell","England Roses","Khador","0",,"Zerkova 2","Khador Army - 74 / 75 points\n\n(Zerkova 2) Obavnik Kommander Zerkova [+24]\n - Behemoth [25]\n - Sylys Wyshnalyrr, The Seeker [4]\nKoldun Lord [4]\nRagman [4]\nGreylord Outriders (min) [12]\nGreylord Outriders (max) [20]\nLady Aiyana & Master Holt [8]\n - Koldun Kapitan Valachev [4]\nWinter Guard Gun Carriage [17]\n"
"Jim Gradwell","England Roses","Khador","1"," Legion of Steel","Zerkova 1","Khador Army - 75 / 75 points\n[Theme] Legion of Steel\n\n(Zerkova 1) Koldun Kommander Aleksandra Zerkova [+28]\n - Juggernaut [12]\n - Juggernaut [12]\n - Marauder [10]\nIron Fang Kovnik [0(4)]\nIron Fang Kovnik [0(4)]\nUhlan Kovnik Markov [7]\nBlack Dragons (min) [10]\n - Black Dragon Officer & Standard [0(4)]\nGreat Bears of the Gallowswood [9]\nIron Fang Pikemen (max) [15]\n - Iron Fang Pikemen Officer & Standard [4]\nIron Fang Uhlans (min) [12]\nIron Fang Uhlans (min) [12]\n"
"Andy Garrard","England Roses","Trollbloods","1"," Band of Heroes","Grissel 2","Trollbloods Army - 75 / 75 points\n[Theme] Band of Heroes\n\n(Grissel 2) Grissel Bloodsong, Marshal of the Kriels [+27]\n - Mountain King [36]\n - Troll Axer [10]\nFell Caller Hero [0(5)]\nFennblade Kithkar [4]\nKrielstone Bearer & Stone Scribes (min) [6]\n - Stone Scribe Elder [3]\nTrollkin Fennblades (max) [15]\n - Fennblade Officer and Drummer [5]\n - Trollkin Sorcerer (1) [3]\nTrollkin Warders (min) [10]\nTrollkin Warders (min) [10]\n"
"Andy Garrard","England Roses","Trollbloods","1"," The Power of Dhunia","Doomshaper 3","Trollbloods Army - 75 / 75 points\n[Theme] The Power of Dhunia\n\n(Doomshaper 3) Hoarluk Doomshaper, Dire Prophet [+26]\n - Mountain King [36]\n - Slag Troll [10]\n - Storm Troll [9]\n - Troll Axer [10]\n - Troll Bouncer [9]\n - Troll Bouncer [9]\n - Troll Bouncer [9]\nNorthkin Shaman [0(4)]\nNorthkin Shaman [0(4)]\nTroll Whelps [0(4)]\nKrielstone Bearer & Stone Scribes (min) [6]\n - Stone Scribe Elder [3]\n"
"Jake 'The Hitman' Wilstrop","England Roses","Cygnar","1"," Heavy Metal","Sloan 1","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n!!! Your army contains pre-release entries.\n\n(Sloan 1) Captain Kara Sloan [+28]\n - Defender [16]\n - Hunter [10]\n - Hunter [10]\n - Hunter [10]\n - Hunter [10]\n - Stormwall [39]\n - Squire [0(5)]\nArchduke Alain Runewood, Lord of Fharin [0(4)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\n"
"Jake 'The Hitman' Wilstrop","England Roses","Cygnar","1"," Storm Division","Haley 2","Cygnar Army - 75 / 75 points\n[Theme] Storm Division\n\n(Haley 2) Major Victoria Haley [+25]\n - Centurion [17]\n - Stormclad [18]\n - Thorn [13]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [4]\n - Firefly [8]\nMajor Katherine Laddermore [8]\nStorm Lances (min) [12]\nStorm Lances (max) [20]\n"
"Andy McBirnie","England Knights","Cryx","1"," The Ghost Fleet","Deneghra 1","Cryx Army - 75 / 75 points\n[Theme] The Ghost Fleet\n\n(Deneghra 1) Warwitch Deneghra [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\nCaptain Rengrave [0(5)]\nHellslinger Phantom [0(7)]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nWraith Engine [15]\nWraith Engine [15]\n"
"Andy McBirnie","England Knights","Cryx","1"," Dark Host","Coven 1","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Coven 1) The Witch Coven of Garlghast [+26]\n - Deathripper [6]\n - Seether [13]\n - Seether [13]\nBane Lord Tartarus [0(6)]\nMachine Wraith [2]\nBane Riders (min) [12]\nBane Riders (max) [20]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Alyx Austin","England Knights","Mercenaries","1"," Hammer Strike","Ossrum 1","Mercenary Army - 75 / 75 points\n[Theme] Hammer Strike\n\n(Ossrum 1) General Ossrum [+28]\n - Ghordson Basher [9]\n - Ghordson Driller [10]\n - Ghordson Driller [10]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\nHorgenhold Artillery Corps [0(6)]\nHorgenhold Artillery Corps [0(6)]\nHorgenhold Forge Guard (max) [16]\nHorgenhold Forge Guard (max) [16]\nHammerfall Siege Crawler [18]\n"
"Alyx Austin","England Knights","Mercenaries","1"," Operating Theater","Thexus 1","Mercenary Army - 74 / 75 points\n[Theme] Operating Theater\n\n(Thexus 1) Exulon Thexus [+29]\n - Wrecker [14]\n - Wrecker [14]\nCephalyx Agitator [3]\nCephalyx Agitator [3]\nAlexia Ciannor & the Risen [10]\n - Cephalyx Dominator [1]\nCephalyx Mind Bender & Drudges (max) [11]\nCephalyx Mind Bender & Drudges (max) [11]\nCephalyx Mind Bender & Drudges (max) [11]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Overlords [0(8)]\nCephalyx Overlords [0(8)]\n"
"Ben Robinson","England Knights","Khador","1"," Jaws of the Wolf","Karchev 1","Khador Army - 75 / 75 points\n[Theme] Jaws of the Wolf\n\n(Karchev 1) Karchev the Terrible [+30]\n - Behemoth [25]\n - Devastator [14]\n - Juggernaut [12]\n - Kodiak [13]\n - Marauder [10]\nGreylord Forge Seer [0(4)]\n - Destroyer [14]\nGreylord Forge Seer [0(4)]\n - Destroyer [14]\nWidowmaker Marksman [0(4)]\nBattle Mechaniks (min) [3]\n - Battle Mechanik Officer [0(3)]\n"
"Ben Robinson","England Knights","Khador","1"," Winter Guard Kommand","Butcher 3","Khador Army - 75 / 75 points\n[Theme] Winter Guard Kommand\n\n(Butcher 3) Kommander Zoktavir, The Butcher Unleashed [+22]\n - Juggernaut [12]\n - Marauder [10]\nKovnik Jozef Grigorovich [4]\nWidowmaker Marksman [4]\nWinter Guard Infantry (max) [10]\n - Winter Guard Infantry Officer & Standard [0(4)]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Rifle Corps (max) [13]\n - Winter Guard Rocketeer (2) [4]\nWinter Guard Gun Carriage [17]\nWinter Guard Gun Carriage [17]\n"
"Norbert Brunhuber","England Knights","Khador","1"," Legion of Steel","Strakhov 2","Khador Army - 74 / 75 points\n[Theme] Legion of Steel\n\n(Strakhov 2) Assault Kommander Strakhov [+22]\n - Devastator [14]\n - Marauder [10]\nIron Fang Kovnik [0(4)]\nIron Fang Kovnik [0(4)]\nUhlan Kovnik Markov [7]\nBlack Dragons (min) [10]\nGreat Bears of the Gallowswood [9]\nIron Fang Pikemen (max) [15]\n - Iron Fang Pikemen Officer & Standard [0(4)]\nIron Fang Pikemen (max) [15]\n - Iron Fang Pikemen Officer & Standard [4]\nIron Fang Uhlans (min) [12]\n"
"Norbert Brunhuber","England Knights","Khador","1"," Winter Guard Kommand","Vladimir 1","Khador Army - 75 / 75 points\n[Theme] Winter Guard Kommand\n\n(Vladimir 1) Vladimir Tzepesci, The Dark Prince [+28]\n - Juggernaut [12]\n - Juggernaut [12]\n - Marauder [10]\n - Marauder [10]\n - Marauder [10]\n - War Dog [3]\nKovnik Jozef Grigorovich [4]\nWinter Guard Field Gun Crew [0(4)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\n"
"James Sykes","England Knights","Grymkin","1"," Dark Menagerie","King of Nothing 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n!!! Your army contains a pre-release entry.\n\n(King of Nothing 1) The King of Nothing [+28]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Frightmare [9]\n - Gorehound [6]\n - Rattler [8]\n - Rattler [8]\n - Rattler [8]\n - Skin & Moans [15]\nGlimmer Imp [4]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [3]\nGremlin Swarm [3]\nLady Karianna Rose [4]\nDread Rots (min) [7]\nDread Rots (min) [7]\n"
"James Sykes","England Knights","Grymkin","1"," Dark Menagerie","Dreamer 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Dreamer 1) The Dreamer [+28]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Gorehound [6]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [3]\nGremlin Swarm [3]\nLady Karianna Rose [4]\nDeath Knell [13]\n"
"Samu Järvinen","Finland Mannerheim","Protectorate of Menoth","1"," Exemplar Interdiction","High Reclaimer 2","Protectorate Army - 75 / 75 points\n[Theme] Exemplar Interdiction\n\n(High Reclaimer 2) Testament of Menoth [+27]\n - Devout [9]\n - Revenger [10]\n - Revenger [10]\nKnights Exemplar Seneschal [0(5)]\nKnights Exemplar Seneschal [0(5)]\nWrack [1]\nWrack [1]\nChoir of Menoth (min) [4]\nExemplar Errants (max) [16]\n - Exemplar Errant Officer & Standard [4]\nExemplar Errants (max) [16]\n - Exemplar Errant Officer & Standard [4]\nKnights Exemplar [9]\n - Knights Exemplar Officer [0(5)]\nKnights Exemplar [9]\nKnights Exemplar [9]\n"
"Samu Järvinen","Finland Mannerheim","Protectorate of Menoth","1"," The Creator's Might","Amon 1","Protectorate Army - 75 / 75 points\n[Theme] The Creator's Might\n\n(Amon 1) High Allegiant Amon Ad-Raza [+29]\n - Crusader [10]\n - Crusader [10]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Dervish [7]\n - Devout [9]\n - Templar [15]\n - Vigilant [9]\n - Hierophant [0(3)]\nVassal Mechanik [1]\nVassal Mechanik [1]\nVassal of Menoth [0(3)]\nVassal of Menoth [0(3)]\nWrack [1]\nWrack [1]\nChoir of Menoth (min) [4]\nChoir of Menoth (min) [4]\nChoir of Menoth (min) [4]\n"
"Tero Särkijärvi","Finland Mannerheim","Mercenaries","0",,"Ossrum 1","Mercenary Army - 74 / 75 points\n\n(Ossrum 1) General Ossrum [+28]\n - Ghordson Driller [10]\n - Grundback Blaster [6]\n - Grundback Blaster [6]\n - Grundback Blaster [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Grundback Gunner [6]\n - Reinholdt, Gobber Speculator [4]\nHorgenhold Artillery Corps [6]\nHorgenhold Forge Guard (min) [10]\nHorgenhold Forge Guard (min) [10]\nLady Aiyana & Master Holt [8]\n"
"Tero Särkijärvi","Finland Mannerheim","Mercenaries","1"," Operating Theater","Thexus 1","Mercenary Army - 75 / 75 points\n[Theme] Operating Theater\n\n(Thexus 1) Exulon Thexus [+29]\n - Wrecker [14]\n - Wrecker [14]\nCephalyx Agitator [3]\nCephalyx Agitator [3]\nCephalyx Mind Bender & Drudges (max) [11]\nCephalyx Mind Bender & Drudges (max) [11]\nCephalyx Mind Bender & Drudges (max) [11]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Overlords [0(8)]\nCephalyx Overlords [0(8)]\n"
"Joonas Heinonen","Finland Mannerheim","Convergence of Cyriss","1"," Destruction Initiative","Lucant 1","Convergence Army - 74 / 75 points\n[Theme] Destruction Initiative\n\n(Lucant 1) Father Lucant, Divinity Architect [+28]\n - Corollary [6]\n - Diffuser [6]\n - Galvanizer [5]\n - Galvanizer [5]\n - Prime Axiom [38]\nAttunement Servitors [0(4)]\nReflex Servitors [0(4)]\nReflex Servitors [0(4)]\nReflex Servitors [0(4)]\nOptifex Directive [4]\nTransfinite Emergence Projector [19]\nTransfinite Emergence Projector [19]\n"
"Joonas Heinonen","Finland Mannerheim","Convergence of Cyriss","1"," Destruction Initiative","Axis 1","Convergence Army - 75 / 75 points\n[Theme] Destruction Initiative\n\n(Axis 1) Axis, the Harmonic Enforcer [+30]\n - Corollary [6]\n - Diffuser [6]\n - Diffuser [6]\n - Inverter [15]\n - Inverter [15]\n - Inverter [15]\nElimination Servitors [0(3)]\nElimination Servitors [0(3)]\nReflex Servitors [0(4)]\nReflex Servitors [0(4)]\nReflex Servitors [0(4)]\nOptifex Directive [4]\nTransfinite Emergence Projector [19]\nTransfinite Emergence Projector [19]\n"
